T,Size,Discovered
0.0,15,0.168719
16.581643809,17,0.335174
27.955698211,16,0.351766
52.23302817,12,0.385846
71.346744638,11,0.38694
101.278139762,11,0.388903
133.938953594,10,0.43596
156.994958456,9,0.467039
180.95325815,7,0.498273
238.659189785,14,0.603694
254.767422326,10,0.646014
274.184963893,8,0.677726
318.897963004,6,0.717844
335.15015507,3,0.750109
421.693945566,9,0.853784
433.20695652,6,0.894019
451.555694221,4,0.925761
482.347275939,3,0.926078
520.182917118,2,0.965194
538.266650888,0,0.997591
