T,Size,Discovered
minsize=10,,
0.0,19,0.168719
29.85706064,26,0.393109
86.253966034,24,0.462067
148.421377206,29,0.583487
207.923293213,23,0.645852
283.770451314,21,0.694168
353.33630714,20,0.696658
465.805179416,18,0.786624
559.823425433,17,0.816838
600.477146613,16,0.873666
655.234123347,15,0.920412
716.684634506,14,0.93575

minsize=15,,
0.0,15,0.168719
29.997600156,26,0.396098
49.296132632,23,0.432712
128.676558024,25,0.564047
155.910736384,23,0.599915
200.931218171,22,0.650036
303.075944052,19,0.710227
391.248635106,19,0.776304
447.709645317,13,0.83122
529.749590578,11,0.890697
630.885312284,10,0.936509
691.162387161,9,0.950424

minsize=20,,
0.0,11,0.168719
29.642805364,23,0.394281
86.727673056,20,0.463275
150.441942988,22,0.585056
177.809061009,22,0.620563
223.075945101,19,0.66994
283.632390377,19,0.678315
307.731075417,18,0.712835
374.743789548,17,0.769158
419.160712335,16,0.800981
503.34277423,13,0.852119
584.287314011,12,0.898262
658.021015244,11,0.909245
683.814795966,10,0.925684
