T,Size,Discovered
minsize=10,,
0.0,19,0.168719
16.477066022,17,0.330355
38.016761158,16,0.359017
63.16542094,14,0.360931
90.347102451,11,0.375334
115.864639613,11,0.391739
177.191062078,17,0.5013
194.437088941,16,0.544696
213.935794988,13,0.575362
261.776428241,9,0.587959
289.092109587,8,0.636548
305.144845522,6,0.650794
391.305803958,4,0.731803
406.295131819,2,0.747
469.93060543,8,0.853158
481.692742765,7,0.893621
505.903147004,6,0.896701
537.948763061,4,0.90806
556.696941202,3,0.925853
611.18754834,2,0.964604
634.692156255,1,0.996637

minsize=15,,
0.0,15,0.168719
16.62154791,17,0.334031
32.676244971,16,0.338178
88.763232543,11,0.385014
112.921903316,10,0.431164
138.791059947,9,0.433301
168.546585349,8,0.44726
230.001148743,14,0.552799
246.073437475,13,0.595428
265.407725879,9,0.626507
309.92641543,8,0.665658
326.185474,6,0.698947
404.09268757,5,0.734372
422.48420367,3,0.748807
486.222854501,8,0.852954
497.578261248,6,0.892997
516.075478863,4,0.924495
535.918173031,3,0.924773
586.154918711,2,0.964677
604.084354287,0,0.996652

minsize=20,,
0.0,11,0.168719
16.352382816,15,0.347886
28.672804948,14,0.351707
53.596416539,12,0.355128
94.98386488,12,0.373758
113.971124178,11,0.389301
167.650546372,8,0.435687
191.951986252,7,0.481926
212.700445972,6,0.498398
242.000006344,5,0.498177
298.297377847,10,0.602589
314.350386098,7,0.645189
333.901363732,5,0.676032
378.598923197,4,0.716444
394.991932054,2,0.748878
481.978950775,7,0.853496
494.379201363,5,0.895507
513.372953965,3,0.925437
562.410328773,2,0.964921
580.640368359,0,0.997525
