T,Size,Discovered
b=0.5,,
0.0,254,0.168719
5.517857782,253,0.29592
14.431219415,252,0.310673
26.443307837,251,0.32201
38.305050002,250,0.337598
59.31706906,249,0.363216
61.828887049,248,0.363216
71.551469886,247,0.367143
97.263720461,246,0.369497
132.575808163,245,0.412822
150.487799333,244,0.416704
175.500188194,243,0.417389
214.213417841,242,0.428962
326.27554989,241,0.587333
394.88728855,240,0.588872
484.399091918,239,0.736525
525.911107307,238,0.738123
558.924029762,237,0.817261

b=1.0,,
0.0,127,0.168719
6.861853897,126,0.304624
17.473849483,125,0.317515
31.945754881,124,0.329125
57.810091947,123,0.357603
94.82319033,122,0.406929
112.39505613,121,0.413242
181.40796772,120,0.535503
209.719705679,119,0.536968
241.732287028,118,0.618448
260.745009524,117,0.618463
396.057289254,116,0.805593
433.0693494,115,0.828171

b=1.5,,
0.0,85,0.168719
8.713686133,84,0.311027
22.425378614,83,0.325048
40.437536887,82,0.334213
76.449973809,81,0.377361
116.112323336,80,0.528004
136.124385403,79,0.528389
276.541826531,78,0.727938
310.10531462,77,0.75085
