T,Size,Discovered
1685887585470324926,15,0.168719
1685887602091872836,17,0.334031
1685887618146569897,16,0.338178
1685887674233557469,11,0.385014
1685887698392228242,10,0.431164
1685887724261384873,9,0.433301
1685887754016910275,8,0.44726
1685887815471473669,14,0.552799
1685887831543762401,13,0.595428
1685887850878050805,9,0.626507
1685887895396740356,8,0.665658
1685887911655798926,6,0.698947
1685887989563012496,5,0.734372
1685888007954528596,3,0.748807
1685888071693179427,8,0.852954
1685888083048586174,6,0.892997
1685888101545803789,4,0.924495
1685888121388497957,3,0.924773
1685888171625243637,2,0.964677
1685888189554679213,0,0.996652
