T,Size,Discovered
1685882006958436220,15,0.168719
1685882023540080029,17,0.335174
1685882034914134431,16,0.351766
1685882059191464390,12,0.385846
1685882078305180858,11,0.38694
1685882108236575982,11,0.388903
1685882140897389814,10,0.43596
1685882163953394676,9,0.467039
1685882187911694370,7,0.498273
1685882245617626005,14,0.603694
1685882261725858546,10,0.646014
1685882281143400113,8,0.677726
1685882325856399224,6,0.717844
1685882342108591290,3,0.750109
1685882428652381786,9,0.853784
1685882440165392740,6,0.894019
1685882458514130441,4,0.925761
1685882489305712159,3,0.926078
1685882527141353338,2,0.965194
1685882545225087108,0,0.997591
